team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20
Deportes Tolima,0.296,0.195,0.127,0.096,0.09,0.047,0.041,0.03,0.027,0.024,0.013,0.006,0.003,0.004,0.001,0.0,0.0,0.0,0.0,0.0
Deportivo Pasto,0.26,0.209,0.137,0.099,0.07,0.061,0.042,0.037,0.03,0.018,0.015,0.011,0.004,0.003,0.003,0.001,0.0,0.0,0.0,0.0
Internacional,0.177,0.161,0.13,0.124,0.102,0.078,0.062,0.043,0.026,0.027,0.018,0.023,0.013,0.008,0.005,0.002,0.001,0.0,0.0,0.0
Jaguares,0.088,0.101,0.133,0.124,0.099,0.084,0.087,0.057,0.041,0.049,0.052,0.026,0.028,0.015,0.007,0.004,0.002,0.003,0.0,0.0
Junior,0.048,0.083,0.105,0.111,0.096,0.115,0.088,0.077,0.061,0.06,0.043,0.039,0.023,0.018,0.019,0.006,0.007,0.001,0.0,0.0
Atlético Nacional,0.029,0.063,0.064,0.067,0.088,0.087,0.088,0.08,0.07,0.067,0.069,0.065,0.059,0.036,0.031,0.018,0.013,0.004,0.0,0.002
Bucaramanga,0.031,0.055,0.069,0.089,0.087,0.071,0.059,0.084,0.067,0.076,0.077,0.081,0.051,0.041,0.028,0.017,0.007,0.007,0.003,0.0
América de Cali,0.023,0.043,0.061,0.076,0.077,0.082,0.074,0.079,0.081,0.072,0.066,0.069,0.066,0.051,0.042,0.021,0.009,0.006,0.002,0.0
Deportivo Cali,0.019,0.022,0.028,0.052,0.057,0.077,0.088,0.089,0.095,0.083,0.084,0.063,0.071,0.059,0.054,0.033,0.015,0.01,0.0,0.001
Llaneros,0.007,0.019,0.037,0.031,0.06,0.075,0.072,0.083,0.102,0.07,0.1,0.081,0.067,0.064,0.051,0.035,0.023,0.011,0.009,0.003
Once Caldas,0.007,0.021,0.036,0.043,0.053,0.053,0.071,0.087,0.088,0.091,0.083,0.086,0.082,0.072,0.055,0.038,0.018,0.01,0.003,0.003
Millonarios,0.007,0.01,0.026,0.03,0.055,0.061,0.084,0.059,0.086,0.079,0.076,0.09,0.081,0.083,0.06,0.056,0.033,0.014,0.009,0.001
Fortaleza,0.005,0.014,0.028,0.03,0.033,0.055,0.06,0.063,0.072,0.094,0.09,0.085,0.084,0.087,0.069,0.066,0.035,0.02,0.008,0.002
Águilas Doradas,0.001,0.004,0.014,0.018,0.015,0.03,0.038,0.058,0.051,0.074,0.087,0.08,0.098,0.096,0.099,0.093,0.067,0.046,0.024,0.007
Deportivo Pereira,0.002,0.0,0.003,0.005,0.008,0.014,0.021,0.04,0.044,0.049,0.052,0.074,0.096,0.102,0.119,0.12,0.115,0.076,0.045,0.015
Santa Fe,0.0,0.0,0.002,0.0,0.005,0.004,0.017,0.015,0.018,0.03,0.024,0.051,0.056,0.099,0.125,0.142,0.142,0.141,0.075,0.054
Medellín,0.0,0.0,0.0,0.005,0.005,0.005,0.003,0.012,0.024,0.017,0.033,0.034,0.06,0.072,0.108,0.13,0.166,0.168,0.093,0.065
Boyacá Chicó,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.006,0.013,0.012,0.013,0.022,0.038,0.06,0.069,0.113,0.163,0.205,0.165,0.117
Cúcuta Deportivo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.003,0.01,0.014,0.016,0.029,0.059,0.107,0.152,0.268,0.336
Alianza FC,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.002,0.004,0.002,0.004,0.006,0.014,0.026,0.046,0.077,0.126,0.296,0.394
